VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A6514-025-00,A6514-50-003,新北市,蘆洲區,中華里,165,0.0,1.0,0.0,7047.0,0.0,443,201604,121.46928414147578,25.082369345130047,5132.594419017264,1.3729898419188333,5
A6514-026-00,A6514-62-002,新北市,蘆洲區,得仁里,146,0.0,1.0,0.0,6901.0,0.0,394,201604,121.47140598655677,25.078413886248775,4700.887144410908,1.4680207773558025,5
A6514-027-00,A6514-37-001,新北市,蘆洲區,仁德里,400,2.0,1.0,0.0,16940.0,0.0,1242,201604,121.4782374632819,25.08479396373991,10510.410988958625,1.6117352611420974,5
A6514-028-00,A6514-38-008,新北市,蘆洲區,仁義里,1009,0.0,2.0,0.0,34646.0,0.0,2689,201604,121.48022060777727,25.08453523117013,24309.485985741652,1.425204959920628,3
A6514-029-00,A6514-39-006,新北市,蘆洲區,光明里,202,0.0,1.0,0.0,7940.0,0.0,652,201604,121.46722034791115,25.08334430513785,5973.2875327243755,1.3292512634794629,5
A6514-029-00,A6514-41-007,新北市,蘆洲區,光明里,111,0.0,1.0,0.0,5138.0,0.0,299,201604,121.46600261688842,25.082630716973902,3905.6369017149923,1.3155344772945659,5
A6514-031-00,A6514-53-001,新北市,蘆洲區,長安里,75,0.0,1.0,0.0,4363.0,0.0,259,201604,121.460467900023,25.081557727391345,3087.665223513478,1.41304179182849,5
A6514-034-00,A6514-23-009,新北市,蘆洲區,福安里,252,0.0,1.0,0.0,10603.0,0.0,708,201604,121.4757615530143,25.087598930521033,7109.359308004257,1.4914142808990307,5
A6514-037-00,A6514-28-003,新北市,蘆洲區,成功里,141,0.0,1.0,0.0,5951.0,0.0,441,201604,121.45766741610937,25.087487204062413,4587.279966882921,1.2972829308353144,5
A6514-037-00,A6514-28-009,新北市,蘆洲區,成功里,118,0.0,1.0,0.0,5309.0,0.0,336,201604,121.45780994087539,25.086394531209958,4064.6869502541754,1.3061276464766898,5
A6514-038-00,A6514-44-010,新北市,蘆洲區,永德里,179,0.0,1.0,0.0,8275.0,0.0,532,201604,121.45853699858324,25.0821496405002,5450.694516095629,1.5181551590470421,5
